stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,geometry,neighbourhood
01248,Finch Ave. @ Kenview Blvd.,43.7401047,-79.6440582,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01248,0,2,POINT (-79.6440582 43.7401047),
01235,Eglinton Ave. W. @ Mississauga Rd.,43.5688934,-79.69577029999998,21,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01235,0,2,POINT (-79.69577029999998 43.5688934),
01234,Eglinton Ave. W. @ Mississauga Rd.,43.56830220000001,-79.695961,21,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01234,0,2,POINT (-79.695961 43.56830220000001),
01230,Duke of York Blvd. @ Princess Royal Dr.,43.5899925,-79.6446991,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01230,0,1,POINT (-79.6446991 43.5899925),
01192,Creditview Rd. @ Rathkeale Rd.,43.5761566,-79.68268590000002,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01192,0,1,POINT (-79.68268590000002 43.5761566),
01191,Creditview Rd. @ Eglinton Ave.,43.577282,-79.6845093,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01191,0,2,POINT (-79.6845093 43.577282),
01165,Bramalea Rd. @ Dearbourne Blvd.,43.7092781,-79.6968994,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01165,0,1,POINT (-79.69689940000001 43.7092781),
01160,Bramalea Rd. @ Avondale Blvd.,43.7094116,-79.6974106,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01160,0,1,POINT (-79.6974106 43.7094116),
00969,Hwy. 50 @ Trade Valley Dr.,43.79213710000001,-79.6624756,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00969,0,1,POINT (-79.66247559999999 43.79213710000001),
00968,Hwy 50 @ Bellchase Trail,43.7921333,-79.6630402,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00968,0,1,POINT (-79.6630402 43.7921333),
00963,Regional Rd. 50 @ Rutherford Rd.,43.8034859,-79.6692581,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00963,0,1,POINT (-79.66925809999999 43.8034859),
00962,Hwy. 50 @ Langstaff Rd.,43.78563,-79.65879,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00962,0,1,POINT (-79.65879 43.78563),
00939,Sheridan College,43.46980670000001,-79.6977158,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00939,0,1,POINT (-79.6977158 43.46980670000001),
00902,Trafalgar Rd. @ Iroquois Shore Rd.,43.4648666,-79.6877365,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00902,0,2,POINT (-79.6877365 43.4648666),
00736,Finch Bus Terminal,43.7819481,-79.4159088,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00736,0,1,POINT (-79.4159088 43.7819481),Newtonbrook East
00723,McCowan Rd. @ Triton Rd.,43.7755547,-79.2528763,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00723,0,1,POINT (-79.2528763 43.7755547),Bendale
00722,McCowan Rd. @ Progress Ave.,43.77647020000001,-79.2527542,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00722,0,1,POINT (-79.2527542 43.77647020000001),Woburn
00358,Centennial College,43.7854233,-79.2290802,89,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00358,0,1,POINT (-79.2290802 43.7854233),Woburn
00340,Hwy. 50 @ Queen St. E.,43.7673454,-79.6489105,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00340,0,1,POINT (-79.6489105 43.7673454),
00339,Regional Rd. 50 @ Nashville Rd.,43.8360138,-79.6881485,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00339,0,2,POINT (-79.6881485 43.8360138),
00300,Yonge St. @ North York Blvd.,43.7668343,-79.412468,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00300,0,1,POINT (-79.412468 43.7668343),Willowdale West
00299,Yonge St. @ Elmhurst Ave.,43.7634468,-79.4115524,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00299,0,2,POINT (-79.41155240000001 43.7634468),Lansing-Westgate
00242,Finch Ave. W. @ Darcel Ave.,43.7335091,-79.6343002,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00242,0,2,POINT (-79.6343002 43.7335091),
00241,Finch Ave. W. @ Longo Circle,43.7334518,-79.6333313,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00241,0,2,POINT (-79.63333129999999 43.7334518),
00228,Malton GO Bus,43.705143,-79.637825,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00228,0,1,POINT (-79.63782500000001 43.705143),
00189,Erindale GO Bus,43.567861,-79.667632,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00189,0,1,POINT (-79.667632 43.567861),
00187,Dixie GO Bus,43.608022,-79.578347,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00187,0,1,POINT (-79.57834699999999 43.608022),
00182,Port Credit GO Bus,43.555814,-79.587088,10,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00182,0,1,POINT (-79.58708799999999 43.555814),
00181,Clarkson GO Bus,43.512831,-79.63310899999998,12,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00181,0,1,POINT (-79.63310899999998 43.512831),
00142,Scarborough Centre Bus Terminal,43.77484129999999,-79.2563171,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=00142,0,1,POINT (-79.2563171 43.77484129999999),Bendale
