lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc,neighbourhood,geometry,dist_nearest_park
43.7656111,-79.5041212,2750.0,2,29958,2,4,4,849000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.5041212 43.7656111),153.87
43.765707,-79.50475820000003,2250.0,2,29958,2,3,4,860000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.50475820000003 43.765707),100.75
43.7659805,-79.5026166,1750.0,2,29958,2,3,4,793000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.5026166 43.7659805),254.31
43.7661843,-79.49602689999998,2750.0,2,29958,3,9,5,1098000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.49602689999998 43.7661843),189.28
43.7663069,-79.5015219,1300.0,2,29958,0,3,3,610000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.5015219 43.7663069),327.8
43.7663069,-79.5015219,1300.0,2,29958,1,3,2,619000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.5015219 43.7663069),327.8
43.766785999999996,-79.50313670000001,2250.0,2,29958,4,4,5,780000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.50313670000001 43.766786),186.2
43.766814399999994,-79.50323159999998,2750.0,2,29958,3,7,7,1027700,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.50323159999998 43.76681439999999),178.04
43.7668351,-79.4967628,2250.0,2,29958,2,4,5,817000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.4967628 43.7668351),138.45
43.766999,-79.49852299999998,,2,29958,2,4,6,925000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.49852299999998 43.766999),216.94
43.7671575,-79.5015647,2750.0,2,29958,3,6,8,1150000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.5015647 43.7671575),316.47
43.76729520000001,-79.499234,,2,29958,3,7,11,899000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.499234 43.76729520000001),256.34
43.7672972,-79.50359089999998,,2,29958,2,4,4,782000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.50359089999998 43.7672972),152.49
43.767471,-79.50038359999998,2250.0,2,29958,2,6,5,750000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.50038359999998 43.767471),344.15
43.767751200000006,-79.4989542,2250.0,2,29958,3,3,7,842000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.4989542 43.76775120000001),221.98
43.7685564,-79.497067,2250.0,2,29958,0,9,8,810000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.497067 43.7685564),90.26
43.7685701,-79.4997286,,2,29958,2,5,6,1069000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.4997286 43.7685701),291.96
43.768825299999996,-79.4981796,,2,29958,3,6,6,827000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.4981796 43.7688253),182.51
43.7505992,-79.46502699999998,850.0,1,29958,0,2,2,555000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,550.0,1,29958,0,1,1,460000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,750.0,1,29958,1,1,1,458000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,550.0,1,29958,0,1,1,419000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,750.0,1,29958,1,1,2,491000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,650.0,1,29958,1,1,1,495000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,750.0,1,29958,1,1,1,501000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,1300.0,1,29958,1,2,3,655000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7511249,-79.46590599999998,650.0,1,29958,1,1,1,465000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46590599999998 43.7511249),64.82
43.7511249,-79.46590599999998,1300.0,1,29958,1,2,2,677000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46590599999998 43.7511249),64.82
43.7511249,-79.46590599999998,650.0,1,29958,1,1,1,449100,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46590599999998 43.7511249),64.82
43.7511249,-79.46590599999998,750.0,1,29958,1,1,2,467000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46590599999998 43.7511249),64.82
43.7511249,-79.46590599999998,950.0,1,29958,1,2,2,630000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46590599999998 43.7511249),64.82
43.7511249,-79.46590599999998,850.0,1,29958,0,2,2,598000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46590599999998 43.7511249),64.82
43.75140570000001,-79.46414809999997,650.0,1,29958,1,1,1,460000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46414809999997 43.75140570000001),84.68
43.75140570000001,-79.46414809999997,750.0,1,29958,1,1,1,507000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46414809999997 43.75140570000001),84.68
43.75140570000001,-79.46414809999997,650.0,1,29958,1,1,1,480800,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46414809999997 43.75140570000001),84.68
43.75140570000001,-79.46414809999997,850.0,1,29958,1,2,2,583000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46414809999997 43.75140570000001),84.68
43.75140570000001,-79.46414809999997,550.0,1,29958,0,1,1,439100,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46414809999997 43.75140570000001),84.68
43.7505279,-79.46402940000002,950.0,1,29958,0,2,2,597000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,550.0,1,29958,0,1,1,425000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,650.0,1,29958,0,1,1,435000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,650.0,1,29958,1,1,2,463000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,750.0,1,29958,1,1,1,475000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,750.0,1,29958,1,1,1,510000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
