Long,Lat,OGF_ID,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,OBJECTID
-79.4720052222866,43.7664487007942,127909251,North York Sleep & Diagnostic Centre Inc.,2 Champagne Drive,Suite B15,Practice Address,Toronto,M3J2C5,755780
-79.270866058253,43.7687116105381,127909252,SLEEP CARE Solutions Scarborough,2025 Midland Avenue,Suite 302,Practice Address,Toronto,M1P3E2,755781
-79.39583599181029,43.6967276921247,127909253,SLEEP CARE Solutions Yonge & Davisville,1835 Yonge Street,Suite 303,Practice Address,Toronto,M4S1X8,755782
-79.3868107853123,43.6556376853319,127909256,Toronto Sleep & Pulmonary Centre,123 Edward Street,Suite 1011,Practice Address,Toronto,M5G1E2,755785
-79.45747561299501,43.7139201922736,127909258,Dr. Jeff Charendoff,960 Lawrence Avenue West,Suite 404,Practice Address,Toronto,M6A3B5,755787
-79.3362580751901,43.72390639965511,127909259,Wynford Vascular Ultrasound Lab,20 Wynford Drive,Suite 312,Practice Address,Toronto,M3C1J4,755788
-79.3478757837278,43.77856760869221,127909260,Lighthouse Medical Imaging - Fairview,5 Fairview Mall Drive,Suite 100,Practice Address,Toronto,M2J2Z1,755789
-79.28699896652459,43.8039907159675,127909263,Lighthouse Medical Imaging - Finch,4190 Finch Avenue East,Suite LL04,Practice Address,Toronto,M1S4T7,755792
-79.24956405024841,43.755123609143,127909264,Compusound Vascular Ultrasound Clinic,3000 Lawrence Avenue East,"Suite C02, Building C",Practice Address,Toronto,M1P2V1,755793
-79.395838989338,43.668658687199404,127909265,Toronto Cardiovascular Laboratory,208 Bloor Street West,Suite 711,Practice Address,Toronto,M5S3B4,755794
-79.39560458980229,43.6747801882848,127909271,Toronto Vascular Ultrasound,217 Davenport Road,,Practice Address,Toronto,M5R1J3,755800
-79.5095444237376,43.64760307822021,127909272,Toronto West Vascular Lab,2983 Bloor Street West,,Practice Address,Toronto,M8X1C1,755801
-79.4423472135248,43.7743866035655,127909273,Canadian Vascular Laboratories,4949 Bathurst Street,Suite 210,Practice Address,Toronto,M2R1Y1,755802
-79.270866058253,43.7687116105381,127909275,Scarborough Vascular Ultrasound,2025 Midland Avenue,"Suite 200, 2nd Floor",Practice Address,Toronto,M1P3E2,755804
-79.270866058253,43.7687116105381,127909491,Alpha Laboratories Incorporated,2025 Midland Avenue,,,Toronto,M1P3E2,755819
-79.28730716164159,43.747562906070605,127909492,Alpha Laboratories Incorporated,2130 Lawrence Avenue East,,,Toronto,M1R3A6,755820
-79.28699896652459,43.8039907159675,127909494,LifeLabs,4190 Finch Avenue East,,,Toronto,M1S4T7,755822
-79.31535147499879,43.7973541134905,127909496,Alpha Laboratories Incorporated,3420 Finch Avenue East,,,Toronto,M1W2R6,755824
-79.2938368685728,43.802437815378504,127909499,Eglinton Diagnostic Laboratories Limited,4040 Finch Avenue East,,,Toronto,M1S4V5,755827
-79.2264154434513,43.761949311410106,127909500,LifeLabs,700 Markham Road,,,Toronto,M1H2A7,755828
-79.2952326655313,43.762959008401296,127909503,LifeLabs,520 Ellesmere Road,,,Toronto,M1R0B1,755831
-79.2330439469248,43.777331113799,127909504,LifeLabs,1200 Markham Road,,,Toronto,M1H3C3,755832
-79.2763878582573,43.74874420678329,127909506,Dynacare,2251 Lawrence Avenue East,,,Toronto,M1P2P5,755834
-79.27704716168671,43.7852360131459,127909514,LifeLabs,4235 Sheppard Avenue East,,,Toronto,M1S1T7,755842
-79.30055997056029,43.800615514747804,127909515,LifeLabs,3850 Finch Avenue East,,,Toronto,M1T3T6,755843
-79.2661240552325,43.751632507764704,127909516,LifeLabs,2562 Lawrence Avenue East,,,Toronto,M1P2R7,755844
-79.28942066553199,43.7840031123565,127909517,LifeLabs,2330 Kennedy Road,,,Toronto,M1T0A2,755845
-79.2049742382307,43.780504915653104,127909519,LifeLabs,2863 Ellesmere Road,,,Toronto,M1E5E9,755847
-79.3126116741033,43.7971282135781,127909520,LifeLabs,3443 Finch Avenue East,,,Toronto,M1S2S1,755848
-79.2196494453848,43.8084303198651,127909521,LifeLabs,1333 Neilson Road,,,Toronto,M1B4Y9,755849
-79.2882318651586,43.784075612424296,127909523,LifeLabs,2347 Kennedy Road,,,Toronto,M1T3T8,755851
-79.24956405024841,43.755123609143,127909524,LifeLabs,3000 Lawrence Avenue East,,,Toronto,M1P2V1,755852
-79.24794644985359,43.75650970946079,127909527,Dynacare,3030 Lawrence Avenue East,,,Toronto,M1P2T7,755855
-79.2651123565168,43.769873011007995,127909530,LifeLabs,1290 Ellesmere Road,,,Toronto,M1P2X9,755858
-79.22088324585499,43.809286519957894,127909532,LifeLabs,1371 Neilson Road,,,Toronto,M1B4Z8,755860
-79.3126116741033,43.7971282135781,127909538,Med-Health Laboratories Ltd.,3443 Finch Avenue East,Suite 402,,Toronto,M1W2S1,755866
-79.24693864950359,43.7561929094519,127909540,Scarborough Health Network - General Hospital,3050 Lawrence Avenue East,,,Toronto,M1P2V5,755868
-79.2045492380854,43.780397815654,127909543,Scarborough Health Network - Centenary Hospital,2867 Ellesmere Road,Margaret Birch Wing,,Toronto,M1E4B9,755871
-79.3090565733761,43.801749714551896,127909550,Scarborough Health Network  - Birchmount Hospital,3030 Birchmount Road,,,Toronto,M1W3W3,755878
-79.4393140110125,43.75697700066011,127909730,LifeLabs,4430 Bathurst Street,,,Toronto,M3H3S3,755884
-79.5285289331412,43.6855263839874,127909735,LifeLabs,1436 Royal York Road,,,Toronto,M9P3A9,755889
-79.4754844174185,43.698986888818105,127909736,LifeLabs,2221 Keele Street,,,Toronto,M6M3Z5,755890
-79.52077983802879,43.7684555988689,127909738,Med-Health Laboratories Limited,4640 Jane Street,Unit 200,,Toronto,M3N2K5,755892
-79.31291756944141,43.743243004126796,127909741,LifeLabs,1448 Lawrence Avenue East,,,Toronto,M4A2V6,755895
-79.44327031203241,43.7542373999963,127909743,LifeLabs,701 Sheppard Avenue West,,,Toronto,M2K1C2,755897
-79.4423472135248,43.7743866035655,127909745,LifeLabs,4949 Bathurst Street,,,Toronto,M2R1Y1,755899
-79.5216570323541,43.701377187085704,127909746,LifeLabs,2050 Weston Road,,,Toronto,M9N3M4,755900
-79.36160388748071,43.77142550680411,127909748,LifeLabs,1333 Sheppard Avenue East,,,Toronto,M2J1V1,755902
-79.36622348969159,43.779735308044,127909749,LifeLabs,4800 Leslie Street,,,Toronto,M2J2K9,755903
