_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,LATITUDE,LONGITUDE,geometry
29999,1023,6350055,SUBWAY ACADEMY TWO,Toronto District School Board,64 BALDWIN ST,English Public,6350055,64,Baldwin St,64 Baldwin St,M5T 1L4,former Toronto,Toronto,Beverley Public School,43.6557652369,-79.3957051034,"{u'type': u'Point', u'coordinates': (-79.3957051034, 43.6557652369)}"
30000,1024,484181,SUMMIT HEIGHTS PUBLIC SCHOOL,Toronto District School Board,139 ARMOUR BLVD,English Public,484181,139,Armour Blvd,139 Armour Blvd,M3H 1M1,North York,Toronto,Summit Heights Public School,43.7413217747,-79.4300369384,"{u'type': u'Point', u'coordinates': (-79.4300369384, 43.7413217747)}"
30001,1025,7369607,SUMMIT MICRO SCHOOL,,291 JANE ST,Private,7369607,291,Jane St,291 Jane St,M6S 3Z3,former Toronto,Toronto,,43.6563291965,-79.4870298334,"{u'type': u'Point', u'coordinates': (-79.4870298334, 43.6563291965)}"
30002,1026,2476346,SUNNY VIEW JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,450 BLYTHWOOD RD,English Public,2476346,450,Blythwood Rd,450 Blythwood Rd,M4N 1A9,North York,Toronto,Sunny View Public School,43.7198437626,-79.3873376053,"{u'type': u'Point', u'coordinates': (-79.3873376053, 43.7198437626)}"
30003,1027,11272707,SUNNYBROOK,,469 MERTON ST,Private,11272707,469,Merton St,469 Merton St,M4S 1B4,former Toronto,Toronto,,43.698765263,-79.3825991459,"{u'type': u'Point', u'coordinates': (-79.3825991459, 43.698765263)}"
30004,1028,6807238,SUNNYLEA JUNIOR SCHOOL,Toronto District School Board,35 GLENROY AVE,English Public,6807238,35,Glenroy Ave,35 Glenroy Ave,M8Y 2M2,Etobicoke,Toronto,Sunnylea Junior Public School,43.6424439893,-79.5068732424,"{u'type': u'Point', u'coordinates': (-79.5068732424, 43.6424439893)}"
30005,1029,553701,SUON ACADEMY,,5 QUEENSLEA AVE,Private,553701,5,Queenslea Ave,5 Queenslea Ave,M9N 3X9,North York,Toronto,,43.7105706653,-79.5116845518,"{u'type': u'Point', u'coordinates': (-79.5116845518, 43.7105706653)}"
30006,1030,526022,SUON INTERNATIONAL ACADEMY,,35 HEAVITREE DR,Private,526022,35,Heavitree Dr,35 Heavitree Dr,M3L 1K5,North York,Toronto,St. Gerard Majella Catholic School,43.7251462206,-79.5153111671,"{u'type': u'Point', u'coordinates': (-79.5153111671, 43.7251462206)}"
30007,1031,7635396,SWANSEA JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,207 WINDERMERE AVE,English Public,7635396,207,Windermere Ave,207 Windermere Ave,M6S 3J9,former Toronto,Toronto,Swansea Public School,43.6436792915,-79.477042753,"{u'type': u'Point', u'coordinates': (-79.477042753, 43.6436792915)}"
30008,1032,10736648,TADDLE CREEK MONTESSORI SCHOOL,,39 SPADINA RD,Private,10736648,39,Spadina Rd,39 Spadina Rd,M5R 2S9,former Toronto,Toronto,,43.6685294127,-79.404268205,"{u'type': u'Point', u'coordinates': (-79.404268205, 43.6685294127)}"
30009,1033,783049,TAIE INTERNATIONAL INSTITUTE,,399 CHURCH ST,Private,783049,399,Church St,399 Church St,M5B 2J6,former Toronto,Toronto,,43.6617849001,-79.3789333113,"{u'type': u'Point', u'coordinates': (-79.3789333113, 43.6617849001)}"
30010,1034,6793434,TALENTA ACADEMY,,2020 ELLESMERE RD,Private,6793434,2020,Ellesmere Rd,2020 Ellesmere Rd,M1H 2Z8,Scarborough,Toronto,,43.7765510764,-79.2361357392,"{u'type': u'Point', u'coordinates': (-79.2361357392, 43.7765510764)}"
30011,1035,351647,TAM O'SHANTER JUNIOR PUBLIC SCHOOL,Toronto District School Board,21 KING HENRY'S BLVD,English Public,351647,21,King Henry's Blvd,21 King Henry's Blvd,M1T 2V3,Scarborough,Toronto,Tam O'Shanter Junior Public School,43.7850716359,-79.2976616871,"{u'type': u'Point', u'coordinates': (-79.2976616871, 43.7850716359)}"
30012,1036,9910045,TAMARACK WEST OUTDOOR SCHOOL,,2264 BLOOR ST W,Private,9910045,2264,Bloor St W,2264 Bloor St W,M6S 1N9,former Toronto,Toronto,,43.6510211002,-79.4781320052,"{u'type': u'Point', u'coordinates': (-79.4781320052, 43.6510211002)}"
30013,1037,395722,TAYLOR CREEK PUBLIC SCHOOL,Toronto District School Board,644 WARDEN AVE,English Public,395722,644,Warden Ave,644 Warden Ave,M1L 3Z3,Scarborough,Toronto,Warden Avenue Junior Public School,43.7000377585,-79.2772877434,"{u'type': u'Point', u'coordinates': (-79.2772877434, 43.7000377585)}"
30014,1038,2119588,TAYYIBAH ISLAMIC ACADEMY INC.,,100 MCLEVIN AVE,Private,2119588,100,McLevin Ave,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,,43.8015539474,-79.2365750799,"{u'type': u'Point', u'coordinates': (-79.2365750799, 43.8015539474)}"
30015,1039,383206,TECUMSEH SENIOR PUBLIC SCHOOL,Toronto District School Board,720 SCARBOROUGH GOLF CLUB RD,English Public,383206,720,Scarborough Golf Club Rd,720 Scarborough Golf Club Rd,M1G 1H7,Scarborough,Toronto,Tecumseh Senior Public School,43.7629070425,-79.2167270408,"{u'type': u'Point', u'coordinates': (-79.2167270408, 43.7629070425)}"
30016,1040,373500,TERRAVIEW LEARNING CENTRE,Toronto District School Board,1641 PHARMACY AVE,English Public,373500,1641,Pharmacy Ave,1641 Pharmacy Ave,M1R 2L2,Scarborough,Toronto,,43.76737728,-79.3130026079,"{u'type': u'Point', u'coordinates': (-79.3130026079, 43.76737728)}"
30017,1041,370058,TERRAVIEW WILLOWFIELD PUBLIC SCHOOL,Toronto District School Board,95 PACHINO BLVD,English Public,370058,95,Pachino Blvd,95 Pachino Blvd,M1R 4K1,Scarborough,Toronto,Terraview-Willowfield Public School,43.7637829145,-79.3085727444,"{u'type': u'Point', u'coordinates': (-79.3085727444, 43.7637829145)}"
30018,1042,399160,TERRY FOX PUBLIC SCHOOL,Toronto District School Board,185 WINTERMUTE BLVD,English Public,399160,185,Wintermute Blvd,185 Wintermute Blvd,M1W 3M9,Scarborough,Toronto,Terry Fox Public School,43.8158993563,-79.318686295,"{u'type': u'Point', u'coordinates': (-79.318686295, 43.8158993563)}"
30019,1043,783098,THE ABELARD CENTRE FOR EDUCATION,,557 CHURCH ST,Private,783098,557,Church St,557 Church St,M4Y 2E2,former Toronto,Toronto,,43.6672228528,-79.3812515391,"{u'type': u'Point', u'coordinates': (-79.3812515391, 43.6672228528)}"
30020,1044,14072150,THE AMBASSADORS OF GOD ACADEMY,,807 ARROW RD,Private,14072150,807,Arrow Rd,807 Arrow Rd,M9M 2L4,North York,Toronto,,43.749182702,-79.5320104306,"{u'type': u'Point', u'coordinates': (-79.5320104306, 43.749182702)}"
30021,1045,10318427,THE ANNE AND MAX TANENBAUM HEBREW ACADEMY OF TORONTO,,200 WILMINGTON AVE,Private,10318427,200,Wilmington Ave,200 Wilmington Ave,M3H 5J8,North York,Toronto,Community Hebrew Academy Of Toronto,43.7618954251,-79.4572132148,"{u'type': u'Point', u'coordinates': (-79.4572132148, 43.7618954251)}"
30022,1046,789628,THE CLAREMONT SCHOOL,,310 DANFORTH AVE,Private,789628,310,Danforth Ave,310 Danforth Ave,M4K 1N6,former Toronto,Toronto,Eastminister United Church,43.6775505519,-79.3537258057,"{u'type': u'Point', u'coordinates': (-79.3537258057, 43.6775505519)}"
30023,1047,8680074,THE DALTON SCHOOL,,906 YONGE ST,Private,8680074,906,Yonge St,906 Yonge St,M4W 2J2,former Toronto,Toronto,,43.6736918063,-79.3888654015,"{u'type': u'Point', u'coordinates': (-79.3888654015, 43.6736918063)}"
