Neighbourhood, Guadeloupean, Scottish, North American Aboriginal origins, First Nations (North American Indian), Inuit, Mtis, Other North American origins, Acadian, American, Canadian, New Brunswicker, Newfoundlander, Nova Scotian, Ontarian, Qubcois, Portuguese, Other North American origins; n.i.e., European origins, British Isles origins, Channel Islander, Cornish, English, Irish, Manx, Welsh, British Isles origins; n.i.e., French origins, Alsatian, Breton, Corsican, French, Western European origins (except French origins), Austrian, Bavarian, Belgian, Dutch, Flemish, Frisian, German, Luxembourger, Swiss, Western European origins; n.i.e., Northern European origins (except British Isles origins), Danish, Finnish, Icelandic, Norwegian, Swedish, Northern European origins; n.i.e., Eastern European origins, Bulgarian, Caribbean origins, Byelorussian, Czech, Czechoslovakian; n.o.s., Estonian, Hungarian, Latvian, Lithuanian, Moldovan, Polish, Romanian, Russian, Slovak, Ukrainian, Eastern European origins; n.i.e., Southern European origins, Albanian, Bosnian, Catalan, Croatian, Cypriot, Greek, Italian, Kosovar, Macedonian, Maltese, Montenegrin, Serbian, Sicilian, Slovenian, Spanish, Yugoslavian; n.o.s., Southern European origins; n.i.e., Antiguan, Other European origins, Basque, Jewish, Roma (Gypsy), Slavic; n.o.s., Other European origins; n.i.e., Bahamian, Barbadian, Bermudan, Carib, Cuban, Dominican, Grenadian, Haitian, Jamaican, Kittitian/Nevisian, Martinican, Montserratan, Puerto Rican, St. Lucian, Arawak, Trinidadian/Tobagonian, Vincentian/Grenadinian, West Indian; n.o.s., Caribbean origins; n.i.e., Latin; Central and South American origins, Aboriginal from Central/South America (except Arawak and Maya), Argentinian, Belizean, Bolivian, Brazilian, Chilean, Colombian, Costa Rican, Ecuadorian, Guatemalan, Guyanese, Hispanic, Honduran, Maya, Beninese, Mexican, Nicaraguan, Panamanian, Paraguayan, Peruvian, Salvadorean, Uruguayan, Venezuelan, Latin; Central and South American origins; n.i.e., African origins, Central and West African origins, Akan, Angolan, Ashanti, Burkinabe, Cameroonian, Chadian, Congolese, Edo, Ewe, Gabonese, Gambian, Ghanaian, Guinean, Ibo, Ivorian, Liberian, Malian, Malink, Nigerian, Peulh, Senegalese, Sierra Leonean, Togolese, Wolof, Yoruba, Central and West African origins; n.i.e., Maure, North African origins, Algerian, Berber, Coptic, Dinka, Egyptian, Libyan, Moroccan, Sudanese, Tunisian, North African origins; n.i.e., Southern and East African origins, Afrikaner, Amhara, Bantu; n.o.s., Burundian, Djiboutian, Eritrean, Ethiopian, Harari, Kenyan, Malagasy, Mauritian, Oromo, Rwandan, Seychellois, Somali, South African, Tanzanian, Tigrian, Ugandan, Zambian, Zimbabwean, Zulu, Southern and East African origins; n.i.e., Other African origins, Black; n.o.s., Other African origins; n.i.e., Asian origins, West Central Asian and Middle Eastern origins, Afghan, Arab; n.o.s., Armenian, Assyrian, Azerbaijani, Georgian, Hazara, Iranian, Hmong, Iraqi, Israeli, Jordanian, Kazakh, Kurd, Kuwaiti, Kyrgyz, Maori, Lebanese, Palestinian, Pashtun, Saudi Arabian, Syrian, Tajik, Tatar, Turk, Turkmen, Uighur, Uzbek, Yemeni, West Central Asian and Middle Eastern origins; n.i.e., South Asian origins, Bangladeshi, Bengali, Bhutanese, East Indian, Goan, Gujarati, Kashmiri, Nepali, Pakistani, Punjabi, Sinhalese, Sri Lankan, Indonesian, Tamil, South Asian origins; n.i.e., East and Southeast Asian origins, Burmese, Cambodian (Khmer), Chinese, Filipino, Japanese, Karen, Korean, Laotian, Malaysian, Mongolian, Singaporean, Taiwanese, Thai, Tibetan, Vietnamese, East and Southeast Asian origins; n.i.e., Hawaiian, Other Asian origins, Other Asian origins; n.i.e., Oceania origins, Australian, New Zealander, Pacific Islands origins, Fijian, Polynesian; n.o.s., Samoan, Pacific Islands origins; n.i.e.
Henry Farm,0,685,130,120,0,10,890,0,60,855,0,0,0,0,0,235,0,"3,565","1,515",0,0,830,605,0,70,120,355,0,0,0,350,510,0,0,0,125,0,0,395,0,15,0,75,30,10,0,20,30,0,935,65,605,10,10,0,15,75,0,40,0,180,175,320,20,220,0,"1,195",40,0,0,40,0,230,340,0,85,0,0,20,0,15,295,10,0,0,60,0,30,0,10,25,10,80,0,0,20,0,35,10,295,15,0,0,0,0,0,130,20,55,40,570,30,15,0,0,55,0,80,0,25,0,140,25,0,0,0,35,0,0,0,0,40,0,90,20,835,115,0,0,0,0,10,0,15,0,0,0,0,10,0,0,0,0,0,0,55,0,15,0,0,0,0,10,0,395,25,10,0,0,285,0,20,45,0,15,155,0,0,0,10,0,10,25,0,10,0,20,0,0,0,30,25,0,0,0,10,10,0,0,195,10,185,"10,975","2,470",460,205,180,0,0,10,0,860,0,265,0,35,10,115,0,35,0,140,10,0,10,85,15,0,75,0,0,30,0,70,"3,295",180,125,15,"2,290",0,40,0,10,300,55,0,125,45,80,310,"5,170",0,0,"3,365","1,380",90,0,455,0,40,0,0,15,0,30,45,0,0,90,105,20,0,15,0,0,0,0,10
High Park North,0,"3,730",455,355,10,80,"3,630",30,410,"3,345",0,0,0,10,10,515,0,"16,455","8,085",0,0,"4,385","3,860",10,420,755,"1,875",0,0,0,"1,875","3,205",250,0,90,680,15,10,"2,265",10,210,20,560,90,95,20,200,155,20,"5,415",40,505,100,175,30,60,405,100,375,30,"2,005",210,"1,205",180,"1,645",30,"3,750",75,20,0,305,10,420,"1,320",0,65,205,20,495,0,95,515,25,0,0,360,0,275,10,15,75,0,25,0,0,45,20,10,10,270,0,0,0,0,10,0,75,10,55,15,915,20,30,0,0,90,105,105,10,30,50,100,0,15,0,0,205,10,20,0,60,45,10,40,10,665,120,0,0,0,0,15,0,10,0,0,0,0,10,0,0,0,0,0,0,60,10,0,0,0,0,0,0,0,130,0,10,0,0,65,0,0,35,0,10,260,0,10,0,0,0,60,75,0,0,10,0,10,10,0,25,25,10,0,10,0,0,0,30,205,20,195,"4,140",980,35,105,40,15,20,10,0,250,0,55,30,10,10,40,0,0,0,130,40,0,0,40,0,25,145,0,0,25,0,25,"1,055",15,0,0,860,30,0,0,15,145,20,10,35,20,0,10,"2,145",10,0,"1,020",400,180,0,410,0,20,10,0,35,20,25,170,10,0,10,35,75,45,15,10,0,0,0,10
High Park-Swansea,0,"4,970",450,355,0,90,"4,160",35,600,"3,710",0,20,0,0,10,585,0,"19,030","10,690",0,0,"6,115","5,265",0,590,970,"2,135",0,10,0,"2,135","3,485",310,0,80,825,20,0,"2,365",10,185,0,735,155,140,60,190,250,35,"5,835",80,705,70,240,20,85,485,120,425,25,"2,250",240,865,140,"1,760",35,"4,285",65,55,10,385,35,350,"1,785",0,45,105,20,685,20,115,465,65,0,0,385,0,305,0,25,70,0,30,10,0,60,10,0,10,395,0,0,0,0,10,0,130,20,80,35,790,35,40,0,0,45,55,105,0,80,10,95,10,0,0,0,165,25,30,0,55,20,20,40,35,660,115,0,0,0,0,0,0,35,0,0,0,0,20,0,0,0,0,0,0,45,0,0,0,10,0,0,0,0,135,15,15,0,0,80,0,30,0,0,10,235,0,10,0,10,0,30,60,0,10,0,0,10,0,0,60,50,0,0,10,20,10,0,10,190,20,170,"3,400",600,10,45,40,0,0,0,0,160,0,55,60,0,0,10,0,0,10,65,45,0,15,55,0,0,95,0,0,15,0,30,910,10,10,0,745,10,15,0,10,40,25,0,45,70,25,35,"1,995",25,10,920,345,185,0,290,10,20,10,0,0,10,20,240,0,0,10,20,75,50,20,10,0,0,0,0
Highland Creek,0,660,75,65,0,15,"1,180",0,45,"1,160",0,0,10,0,10,210,0,"3,470","1,670",0,0,870,675,0,50,225,240,0,0,0,235,360,45,0,30,100,0,0,250,0,10,0,65,15,30,0,20,10,0,445,0,"1,540",0,20,0,20,100,0,0,0,180,25,30,20,120,0,"1,625",10,0,0,55,50,225,665,0,210,10,0,15,0,30,275,20,0,0,30,0,10,0,0,25,10,105,0,25,25,25,45,20,850,0,0,0,0,30,0,170,85,290,40,640,30,0,0,0,10,0,20,0,10,0,470,0,0,10,10,20,10,0,0,10,20,0,0,40,515,45,0,0,0,0,0,0,20,0,0,0,0,10,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,65,0,0,0,0,30,0,30,0,0,0,115,0,0,0,0,0,40,45,0,10,0,0,0,25,0,0,0,10,0,25,0,0,0,10,285,35,255,"7,175",340,85,45,40,0,0,10,0,55,0,20,0,10,0,30,0,0,0,25,20,0,0,10,10,0,25,0,0,0,0,10,"4,685",60,20,0,"2,595",60,0,10,0,160,30,25,"1,445",0,570,195,"2,200",0,10,"1,195",880,45,0,115,0,0,10,0,0,20,0,65,0,0,25,25,10,10,0,0,0,0,0,0
Hillcrest Village,0,545,30,25,0,0,925,0,40,915,0,0,0,0,0,135,0,"4,135","1,300",0,0,690,490,0,35,120,260,0,0,0,255,605,105,0,0,100,0,0,395,0,25,0,60,15,35,0,0,25,10,"1,770",25,435,25,40,10,30,230,0,45,10,530,445,555,25,230,25,940,20,25,0,20,10,245,210,0,30,0,25,100,0,10,215,0,0,0,270,0,250,0,0,25,0,10,0,10,10,0,25,10,270,0,0,0,0,20,0,90,15,25,0,320,10,0,0,0,10,10,95,0,0,10,30,0,0,0,0,40,0,0,0,55,35,10,10,0,400,60,0,0,15,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,10,0,45,0,35,20,20,0,140,0,0,0,0,0,0,15,0,0,0,15,0,0,0,95,10,0,0,0,0,10,0,15,75,10,55,"12,030","1,195",75,0,125,0,0,0,0,775,0,10,25,10,0,0,0,0,0,90,25,0,0,25,0,0,35,0,10,0,0,60,"1,520",20,20,0,"1,060",25,0,0,15,125,0,45,205,45,30,65,"9,415",25,0,"8,265",310,85,0,695,0,0,0,0,110,0,0,40,10,0,0,0,35,10,10,10,0,0,10,0
Humber Heights-Westmount,0,765,75,60,0,20,925,0,30,885,0,10,0,10,0,775,0,"7,520","1,755",0,0,880,825,0,100,110,265,0,0,0,265,605,90,0,10,110,0,0,405,0,30,0,95,35,45,0,10,35,0,"1,985",30,525,30,45,0,10,95,30,70,15,625,105,225,40,990,0,"3,990",225,30,0,245,0,115,"2,295",0,50,75,10,110,0,45,360,40,0,0,45,0,50,0,0,10,0,40,10,20,35,10,10,0,270,0,0,0,0,0,0,100,40,40,15,600,20,10,0,10,70,65,145,0,45,10,105,10,10,0,0,15,0,0,10,15,55,0,35,15,870,170,0,15,0,0,10,10,0,0,0,0,0,105,0,0,0,0,0,0,25,0,0,0,0,0,10,0,0,25,0,0,0,0,20,0,0,0,0,0,520,0,0,0,0,0,35,125,0,25,0,0,20,0,0,340,0,0,0,20,0,10,0,0,155,10,140,"1,145",260,30,0,45,0,10,10,0,30,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,30,0,0,0,50,10,415,15,35,0,280,0,0,0,0,15,55,0,15,0,0,35,485,0,0,135,195,0,0,140,0,10,0,0,15,0,0,15,10,20,0,0,20,10,0,15,0,0,0,0
Humber Summit,0,305,20,10,0,10,995,0,20,965,0,0,0,0,0,305,0,"4,370",695,0,0,325,270,0,55,25,150,0,0,0,145,205,35,0,0,50,0,0,120,0,0,0,35,10,10,0,10,10,10,295,10,"1,320",0,0,10,0,45,0,0,0,90,30,40,40,55,0,"3,550",0,0,0,15,0,70,"2,970",0,20,0,0,0,0,0,315,10,0,15,25,0,20,0,0,10,15,25,0,10,75,20,0,0,975,20,0,0,0,20,0,85,0,160,10,"1,005",20,60,0,10,15,35,110,0,175,40,210,35,0,0,0,110,15,0,0,20,165,0,0,30,760,300,0,0,10,0,0,0,0,10,0,0,0,190,0,0,0,0,0,0,70,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,10,0,0,0,0,0,0,0,150,10,0,0,0,0,0,0,10,305,35,280,"5,250",685,95,20,40,110,0,0,0,10,0,380,0,0,0,0,0,0,0,10,0,0,0,35,0,0,50,0,0,15,0,20,"3,520",105,15,0,"1,990",0,30,0,10,"1,005",260,0,80,10,35,115,"1,045",0,0,260,365,0,0,45,0,0,0,0,0,10,0,450,0,0,85,90,0,0,0,0,0,0,0,0
Humbermede,0,190,90,70,10,15,"1,320",0,40,"1,285",0,15,0,0,0,315,0,"3,950",875,0,0,630,285,0,15,55,230,0,0,0,240,230,10,0,0,70,0,0,155,0,10,0,25,10,10,0,15,0,10,375,20,"2,065",10,30,0,20,85,0,0,0,115,50,50,0,55,0,"2,590",0,0,0,25,0,75,"1,620",0,40,0,0,0,0,10,655,20,0,0,35,0,10,0,0,25,0,35,0,0,50,55,120,85,"1,230",10,0,0,0,125,0,70,85,235,95,"2,020",100,135,0,15,50,75,185,25,475,95,280,40,0,10,20,105,95,0,10,105,325,35,10,20,"1,700",655,10,0,20,0,0,0,0,10,0,0,0,215,0,20,0,0,25,0,330,0,0,20,0,0,10,10,0,45,0,0,0,0,35,0,0,20,0,0,490,0,0,0,0,0,180,50,0,0,0,0,0,10,0,170,20,0,0,25,0,30,0,10,505,65,440,"6,405",535,85,55,35,20,0,0,0,20,0,135,10,10,0,0,0,0,0,10,35,10,0,25,0,0,95,0,0,0,0,30,"3,320",15,0,0,"2,245",0,0,30,10,850,210,10,245,0,25,155,"2,560",25,120,655,920,25,0,60,60,0,0,0,0,15,0,"1,000",15,0,35,35,10,10,0,0,0,0,0,0
Humewood-Cedarvale,0,"1,785",240,175,10,70,"2,715",30,320,"2,430",0,0,0,10,10,415,0,"9,810","4,040",0,0,"2,185","1,780",0,235,485,820,0,0,0,820,"1,730",190,0,50,365,0,0,"1,180",0,65,0,290,65,80,10,95,70,15,"3,855",30,645,50,85,0,60,455,50,260,35,"1,985",360,"1,485",80,495,245,"2,445",55,10,0,35,0,380,"1,110",0,40,30,0,60,0,10,510,0,0,0,985,0,910,0,0,80,0,60,0,0,25,0,35,10,350,0,0,0,0,15,0,95,10,65,60,740,55,95,0,0,55,60,65,0,70,10,30,30,0,0,0,135,0,20,0,20,10,10,55,75,650,50,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,15,0,0,0,10,210,0,0,0,0,70,15,95,20,0,10,190,0,0,0,0,0,65,25,0,0,0,0,0,0,0,0,55,0,0,15,0,10,10,20,210,40,165,"3,020",480,15,15,20,10,0,0,0,85,0,40,150,0,0,0,0,0,0,80,25,0,0,45,0,0,30,0,0,0,10,10,355,0,15,0,245,0,10,10,0,10,20,15,30,15,10,25,"2,245",15,0,390,"1,540",130,0,150,0,0,0,10,10,20,0,65,0,0,0,10,55,35,15,10,0,0,0,0
Ionview,0,745,200,150,0,50,"1,385",0,55,"1,345",0,10,0,0,0,185,0,"3,735","1,800",0,0,"1,000",750,0,55,60,365,0,0,0,370,380,15,0,10,125,0,0,230,0,10,0,35,25,0,0,10,0,0,480,10,"1,135",0,60,0,40,110,0,20,0,120,30,35,25,75,0,"1,435",60,0,0,25,0,495,285,0,135,0,0,20,0,10,285,10,0,0,65,10,20,0,0,40,0,95,0,10,25,25,40,35,600,0,0,10,0,15,0,100,45,165,60,510,10,30,0,0,10,20,0,0,0,10,305,0,0,0,0,15,55,0,0,0,50,0,0,20,980,85,0,10,0,0,0,0,20,0,0,0,0,30,10,0,0,0,10,0,10,0,0,0,0,0,0,0,10,110,0,15,0,0,40,25,25,0,0,0,470,0,0,0,0,0,155,205,0,0,0,0,0,0,0,65,0,0,0,15,0,25,0,0,335,55,280,"7,790",500,145,65,65,0,0,15,0,80,0,35,0,0,0,0,0,0,0,40,35,0,0,45,0,0,35,0,0,0,0,10,"3,845",245,80,0,"2,025",10,15,0,150,300,0,30,845,0,230,165,"3,435",10,30,855,"2,535",10,0,35,0,15,15,0,0,0,35,50,20,0,70,70,10,0,0,10,0,0,0,0
Islington-City Centre West,0,"4,015",465,350,10,140,"4,920",25,360,"4,630",0,20,0,0,10,"1,815",0,"26,915","9,480",0,0,"5,045","4,160",30,430,845,"2,000",10,0,0,"1,990","3,305",340,0,100,675,20,0,"2,330",0,95,10,430,70,85,50,95,75,40,"8,245",115,"1,595",135,250,20,35,595,70,315,45,"3,240",400,"1,060",265,"3,165",40,"10,620",415,265,0,740,0,770,"4,195",0,225,305,55,"1,475",30,280,"1,105",105,0,20,300,0,200,20,15,60,15,110,0,10,80,10,65,55,890,0,0,0,0,10,0,200,60,155,35,"1,835",40,125,0,0,230,105,315,20,120,70,210,40,0,10,0,185,0,0,45,85,160,10,130,65,"2,385",615,10,15,0,0,75,0,35,0,0,0,0,240,10,20,10,0,0,0,145,0,0,10,15,0,40,0,0,235,10,20,0,0,175,0,20,30,10,0,"1,205",0,0,0,10,0,100,130,0,95,0,0,15,10,0,760,70,20,0,10,0,0,0,40,350,55,305,"11,785","1,855",160,195,115,10,20,10,0,325,0,100,20,30,10,35,0,0,0,290,100,0,10,190,25,35,190,10,55,20,60,35,"3,595",210,105,0,"2,585",40,25,0,30,410,40,10,140,40,25,220,"6,440",10,10,"2,250","1,895",185,0,"1,625",0,35,35,0,35,40,245,410,0,0,10,15,60,30,10,30,30,0,0,0
Junction Area,0,"2,500",375,295,15,100,"2,415",30,255,"2,205",0,35,0,0,0,"1,140",0,"10,080","5,370",0,10,"2,970","2,705",0,340,445,"1,230",0,0,0,"1,215","2,005",195,0,55,435,0,0,"1,430",0,150,0,410,45,100,30,115,135,15,"2,245",20,400,20,105,0,70,295,80,125,0,790,110,400,65,650,15,"3,315",20,10,0,100,0,345,"1,015",0,85,245,10,150,0,35,430,25,0,0,220,0,180,0,0,30,10,40,0,0,40,30,10,10,165,0,0,0,10,0,0,50,10,50,20,765,20,50,0,15,80,20,70,10,50,30,80,15,15,0,0,150,10,0,0,75,50,25,25,75,405,85,0,15,0,0,0,10,0,0,0,0,0,45,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,30,0,0,0,0,10,0,20,0,0,0,145,0,0,10,0,0,40,40,0,0,0,10,0,0,0,35,25,0,0,0,0,0,0,0,145,25,125,"3,255",310,15,10,30,0,10,35,0,30,0,20,20,10,10,0,0,0,0,75,10,0,0,20,0,0,50,0,0,0,0,0,535,55,0,0,360,0,10,0,25,65,35,10,10,30,10,20,"2,485",0,0,"1,110",685,160,0,80,10,20,10,0,40,20,180,365,0,0,30,30,45,35,10,0,0,0,0,0
Keelesdale-Eglinton West,0,320,140,105,0,30,800,0,70,740,0,10,0,0,0,"3,925",0,"6,615",980,0,0,480,330,0,45,95,295,0,0,0,290,245,10,0,20,95,0,0,165,0,10,0,50,0,15,0,20,10,0,390,10,960,10,0,0,0,125,0,20,0,155,10,35,10,70,10,"5,450",20,0,0,25,0,125,"1,060",0,10,20,0,0,0,0,460,0,0,0,30,0,10,0,0,20,0,10,0,10,60,20,110,0,550,0,0,0,10,45,0,65,55,50,75,"1,095",115,55,0,0,230,55,60,0,170,60,75,10,40,15,0,65,0,15,0,30,120,0,10,55,405,35,0,10,0,10,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,30,20,0,0,0,0,0,0,0,55,0,20,0,10,0,25,0,0,220,10,205,"2,545",125,0,20,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,10,985,0,10,0,815,0,0,0,0,75,0,0,30,0,25,50,"1,455",0,0,250,850,60,0,20,35,10,0,0,0,15,10,290,0,0,20,15,10,10,0,0,0,0,0,0
Kennedy Park,0,910,365,270,10,100,"2,120",0,90,"2,070",0,10,10,0,0,270,0,"5,160","2,605",0,0,"1,435","1,085",0,145,165,570,0,0,0,570,650,35,0,25,165,0,0,430,0,0,30,105,0,40,15,20,30,0,510,60,"1,415",0,40,15,35,95,10,15,0,140,70,35,0,95,0,"1,995",30,0,0,60,10,550,530,0,200,30,0,55,25,15,405,25,0,25,50,0,30,0,10,15,0,95,10,0,0,40,45,0,815,0,0,0,0,25,15,250,20,240,35,585,10,0,0,0,15,0,10,0,0,0,350,15,0,0,0,35,25,20,0,15,45,0,0,20,"1,355",200,0,10,0,10,0,0,25,0,0,0,10,35,40,0,0,0,0,0,65,0,10,0,0,0,0,10,0,105,0,0,0,0,35,0,20,30,20,10,750,10,20,0,10,0,95,255,60,45,0,0,20,10,0,240,10,10,0,10,0,10,0,30,340,65,270,"9,150",630,135,90,45,0,0,0,0,70,0,65,0,0,0,35,0,0,0,50,10,10,0,20,0,0,70,0,0,0,55,40,"4,360",850,395,0,"1,555",10,10,0,70,380,20,50,905,15,315,330,"4,295",20,10,"1,240","2,750",145,0,95,0,10,10,0,0,0,70,115,45,0,55,55,0,0,0,10,0,0,0,10
Kensington-Chinatown,0,"1,760",265,150,0,110,"2,235",30,180,"2,090",0,0,0,10,0,390,0,"6,820","3,965",0,0,"2,055","1,805",0,145,395,995,0,0,0,995,"1,350",120,0,30,385,0,10,900,0,35,0,375,70,70,40,85,130,35,"1,590",25,695,20,105,20,10,180,25,55,15,565,100,380,35,420,0,"1,500",15,0,0,70,0,145,585,0,20,0,0,35,10,10,275,30,0,10,250,0,205,0,0,50,10,30,0,10,35,10,50,10,370,10,0,10,0,0,0,140,10,50,0,475,0,15,10,10,65,10,35,10,85,0,65,35,20,0,0,30,20,10,0,10,45,0,10,35,745,105,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,10,0,35,0,0,0,0,0,0,0,0,150,0,0,0,0,55,20,65,0,0,10,345,0,0,0,0,0,45,105,0,0,0,10,0,10,0,120,25,10,0,0,0,0,0,10,180,45,130,"9,140",570,70,105,25,0,0,0,0,125,0,10,10,15,20,15,0,0,0,50,10,10,20,10,0,0,45,0,0,0,20,20,815,85,20,0,470,10,0,0,0,200,0,0,30,35,0,45,"7,800",0,30,"6,250",470,270,0,355,0,80,10,15,80,65,0,405,10,0,0,0,55,20,15,20,0,0,10,0
Kingsview Village-The Westway,0,"1,050",145,105,0,40,"1,820",0,130,"1,745",0,0,0,0,0,780,0,"8,985","2,725",0,0,"1,610","1,015",0,105,140,500,0,0,0,510,785,105,0,10,155,0,0,545,0,10,0,120,60,20,10,0,25,0,"1,790",35,"1,780",0,50,30,0,275,25,35,10,740,95,175,85,500,0,"4,650",175,10,0,290,0,265,"2,730",15,75,75,10,55,0,50,440,10,10,30,145,0,95,45,0,10,0,80,0,25,100,35,45,35,"1,235",20,0,0,0,0,0,140,55,180,70,"1,200",25,65,0,10,85,100,190,0,110,85,165,35,10,0,0,110,50,0,0,25,150,25,30,35,"4,315",515,0,15,0,0,15,0,10,0,0,0,0,155,0,0,15,0,0,0,260,0,0,0,0,0,25,15,0,110,0,0,0,0,30,0,35,40,0,0,"3,175",0,0,0,15,0,15,145,0,20,0,55,0,15,0,"2,815",0,20,0,35,0,0,10,75,570,90,510,"6,575","1,160",475,100,35,10,0,0,0,100,0,70,20,20,0,35,0,0,0,90,75,0,10,30,0,0,85,0,20,0,25,10,"3,670",80,155,0,"2,065",10,40,10,0,845,110,10,220,10,75,275,"1,715",0,10,540,710,40,0,220,0,0,0,0,0,10,0,240,10,0,120,115,40,40,0,0,0,0,0,0
Kingsway South,0,"1,955",95,70,0,15,"2,090",0,180,"1,990",0,0,0,0,0,225,0,"7,650","4,635",0,0,"2,720","2,115",0,275,415,880,10,0,0,865,"1,425",85,0,60,365,0,0,965,0,60,15,335,75,75,10,55,120,10,"1,865",0,85,25,70,30,30,170,15,75,0,715,35,230,25,650,30,"1,780",20,15,0,145,0,100,"1,075",0,40,70,25,145,0,35,100,30,0,0,40,0,30,0,0,10,0,10,0,0,0,0,0,10,30,0,0,0,0,0,0,10,0,20,10,120,0,10,0,0,10,0,30,0,0,0,40,0,0,0,0,0,0,0,0,10,0,0,20,0,120,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,0,30,0,45,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,0,0,0,20,0,10,"1,085",175,15,0,20,0,0,0,0,60,0,0,0,0,0,0,0,0,0,45,0,0,0,20,0,0,10,0,0,0,0,10,275,10,0,0,235,10,0,0,0,20,15,0,20,25,20,0,705,0,0,335,125,70,0,145,0,0,10,10,10,0,0,35,0,0,0,0,10,10,0,0,0,0,0,0
Lambton Baby Point,0,"1,610",195,125,0,75,"1,355",20,95,"1,250",0,10,0,0,0,350,0,"6,115","3,300",0,0,"1,840","1,505",20,125,310,595,0,0,0,595,"1,165",95,0,20,260,10,10,760,0,80,0,180,60,45,40,45,35,0,"1,915",10,565,20,20,0,30,195,35,115,0,735,115,310,40,730,0,"1,460",30,0,0,100,0,155,615,0,30,30,0,105,0,35,190,0,0,0,130,0,90,10,10,30,0,60,0,0,25,0,40,10,315,0,0,0,0,10,0,120,55,0,0,350,15,10,0,0,15,40,30,10,0,10,50,30,0,10,0,45,0,0,0,40,10,0,25,10,470,100,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,40,10,10,40,0,0,0,0,0,0,0,30,0,0,225,0,0,0,0,0,0,35,0,15,0,0,0,15,0,145,10,10,0,10,0,0,0,15,85,20,75,980,175,30,15,20,0,0,0,0,45,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,30,0,0,0,0,0,315,0,10,0,240,0,0,0,0,70,10,0,0,0,0,0,510,0,0,220,185,25,0,55,0,25,0,0,0,10,0,30,0,0,0,0,45,45,0,0,0,0,0,0
L'Amoreaux,0,"1,435",195,155,0,50,"2,880",0,160,"2,695",0,35,0,20,0,385,0,"8,490","3,650",0,0,"2,180","1,305",0,150,255,645,0,0,0,645,940,115,0,10,215,0,0,650,0,30,0,185,35,45,20,55,75,0,"1,180",50,"2,635",20,50,0,10,155,40,20,0,280,190,195,35,285,0,"3,705",45,10,0,10,50,"1,260","1,270",0,315,40,0,50,0,20,495,40,40,70,120,0,60,0,0,50,0,130,0,20,25,10,105,40,"1,595",10,0,10,0,45,0,295,50,370,95,790,65,0,0,0,40,45,75,0,20,0,340,0,0,10,0,60,15,30,0,25,60,10,10,40,"1,990",340,0,0,0,0,15,0,20,10,0,0,0,70,40,0,0,0,0,25,130,0,0,10,0,0,0,30,0,425,10,0,15,0,345,0,10,70,0,10,515,0,10,0,10,15,0,105,35,0,0,35,0,10,0,265,0,10,0,0,0,15,0,35,815,130,700,"30,785","3,885",325,240,"1,990",25,0,10,60,360,0,300,30,10,0,60,0,0,0,420,150,0,0,315,0,0,120,0,0,0,0,35,"7,265",85,25,0,"3,395",35,10,10,40,515,35,60,"2,660",25,"1,025",230,"19,680",20,0,"16,745","2,545",150,0,245,10,75,0,10,110,20,0,290,10,0,85,100,40,10,0,20,20,0,0,0
