lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc
43.7794382,-79.2153531,1100.0,1,32291,0,3,2,505000,0,0,0,0,0,1,0,0,0,0,0
43.787217999999996,-79.2182614,,2,32291,2,3,3,788500,0,0,0,0,0,0,1,0,0,0,0
43.664513299999996,-79.30808809999998,1100.0,1,92580,0,2,2,976000,0,0,0,0,1,0,0,0,0,0,0
43.80805170000001,-79.2298497,,6,29573,1,3,2,637000,0,0,0,0,0,0,0,0,0,1,0
43.717269200000004,-79.3793441,950.0,1,308010,1,2,2,1010000,0,0,0,0,1,0,0,0,0,0,0
43.8028015,-79.28608369999998,1500.0,1,31825,0,3,3,615000,0,0,0,0,0,1,0,0,0,0,0
43.660249,-79.3428952,650.0,1,53803,1,1,1,590000,0,0,0,0,1,0,0,0,0,0,0
43.715377600000004,-79.2887823,,6,36232,0,3,2,795000,0,0,0,0,0,0,1,0,0,0,0
43.68615250000001,-79.39287409999999,750.0,1,207903,0,2,2,787000,0,0,0,0,1,0,0,0,0,0,0
43.639954700000004,-79.382025,550.0,0,70600,0,1,1,480000,0,0,0,0,1,0,0,0,0,0,0
43.68294760000001,-79.31733,,1,55199,0,3,1,875000,0,0,0,0,0,0,0,0,0,1,0
43.7662304,-79.4632252,3250.0,6,45936,3,4,6,1912000,0,0,0,0,0,0,1,0,0,0,0
43.794874,-79.221434,,3,29573,3,3,2,651100,0,0,0,0,0,0,1,0,0,0,0
43.82597670000001,-79.27440859999999,1100.0,1,28085,0,2,2,405000,0,0,0,0,1,0,0,0,0,0,0
43.6441737,-79.38942089999998,850.0,1,70600,0,2,2,975000,0,0,0,0,1,0,0,0,0,0,0
43.74503720000001,-79.6018876,,2,31771,1,5,3,765000,0,0,0,0,0,0,1,0,0,0,0
43.6886334,-79.4784379,,1,33316,3,3,3,880000,0,0,0,0,0,0,1,0,0,0,0
43.6565366,-79.53112260000002,4250.0,6,99055,2,4,5,3200000,0,0,0,0,0,0,1,0,0,0,0
