lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc,neighbourhood,geometry,within_500_m,within_1_km,within_500_1km
43.7511249,-79.46590599999998,950.0,1,29958,1,2,2,630000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392330.419554553 14387618.99444582),21,38,17
43.7511249,-79.46590599999998,850.0,1,29958,0,2,2,598000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392330.419554553 14387618.99444582),21,38,17
43.75140570000001,-79.46414809999997,650.0,1,29958,1,1,1,460000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392464.332832885 14387552.57265639),27,42,15
43.75140570000001,-79.46414809999997,750.0,1,29958,1,1,1,507000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392464.332832885 14387552.57265639),27,42,15
43.75140570000001,-79.46414809999997,650.0,1,29958,1,1,1,480800,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392464.332832885 14387552.57265639),27,42,15
43.75140570000001,-79.46414809999997,850.0,1,29958,1,2,2,583000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392464.332832885 14387552.57265639),27,42,15
43.75140570000001,-79.46414809999997,550.0,1,29958,0,1,1,439100,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392464.332832885 14387552.57265639),27,42,15
43.7505279,-79.46402940000002,950.0,1,29958,0,2,2,597000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,550.0,1,29958,0,1,1,425000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,650.0,1,29958,0,1,1,435000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,650.0,1,29958,1,1,2,463000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,750.0,1,29958,1,1,1,475000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,750.0,1,29958,1,1,1,510000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,650.0,1,29958,0,1,1,428000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,650.0,1,29958,1,1,1,482000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,650.0,1,29958,1,1,1,495000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505279,-79.46402940000002,650.0,1,29958,1,1,2,457000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392498.150259105 14387647.78647648),24,41,17
43.7505992,-79.46502699999998,550.0,1,29958,0,1,1,423000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.7505992,-79.46502699999998,750.0,1,29958,1,1,1,479500,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-1392415.782002484 14387659.83785613),21,38,17
43.743883200000006,-79.4922058,1300.0,1,29958,1,4,2,540000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1390410.636957859 14388950.38120947),9,35,26
43.74408,-79.49120699999997,1100.0,1,29958,0,4,2,500000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1390485.714107803 14388908.52862857),11,34,23
43.74452480000001,-79.4903892,1300.0,1,29958,0,3,2,542000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1390539.360773137 14388842.72236082),11,33,22
43.745092299999996,-79.49252840000003,1300.0,1,29958,1,3,3,510000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1390351.286051668 14388822.40593174),12,35,23
43.745337400000004,-79.4945023,,1,29958,1,4,3,860000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1390185.42934535 14388834.62350422),11,44,33
43.745504499999996,-79.49167920000002,1300.0,1,29958,0,3,2,510000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1390408.3622011 14388759.59746731),11,34,23
43.74817669999999,-79.4999588,4250.0,2,29958,0,4,3,980000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389667.352279826 14388628.03392474),17,63,46
43.7482564,-79.49212399999998,,3,29958,0,3,2,700000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-1390296.605629509 14388462.54111312),16,36,20
43.7482582,-79.50063979999999,,2,29958,0,6,3,1143000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1389610.219517573 14388632.5841868),17,62,45
43.748494,-79.49519219999998,2250.0,2,29958,0,4,4,1050000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-1390042.769315887 14388497.47221931),12,51,39
43.7485503,-79.4922047,,1,29958,0,4,2,835000,0,0,0,0,0,0,0,1,0,0,0,York University Heights,POINT (-1390281.994740037 14388431.47967734),15,38,23
43.7519881,-79.489587,1300.0,1,29958,1,2,2,378500,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1390398.125286924 14387996.9271894),8,29,21
43.7524566,-79.489915,1300.0,2,29958,0,3,2,418000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-1390358.76643362 14387951.40041345),9,29,20
